State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.85046	1.78073	1.76464	1.85046	1.87728	1.96310	2.12937	2.33319	2.36001	2.30101	2.17764	2.31710	2.32246	2.32246	2.36537	2.42973	2.27955	2.30637	2.29564	2.26346	2.37073
2	1.09177	1.09250	1.08739	1.08836	1.09225	1.10004	1.10685	1.10393	1.10247	1.10442	1.10077	1.09347	1.08568	1.08763	1.08520	1.08520	1.08179	1.07619	1.06962	1.06670	1.06281
3	0.52110	0.52051	0.52216	0.52120	0.52025	0.51966	0.51701	0.51744	0.52003	0.52529	0.53345	0.53982	0.54714	0.55175	0.56045	0.56756	0.57684	0.58602	0.59652	0.60676	0.61535
4	0.98894	0.98242	0.96938	0.98677	0.99981	1.01067	1.01502	0.99111	0.98459	0.95199	0.90200	0.91939	0.94547	0.96938	0.96286	0.96286	0.96720	0.97155	0.98024	0.99111	0.99111
5	4.66879	4.71644	4.75350	4.79963	4.80871	4.78980	4.75879	4.74215	4.69677	4.57274	4.40408	4.26416	4.08415	3.89658	3.67044	3.48741	3.34900	3.19018	3.01546	2.89445	2.80294
6	2.03253	2.02543	2.02489	2.00249	2.02379	2.02926	2.04564	2.03963	2.05384	2.14178	2.25594	2.31002	2.41271	2.50120	2.59843	2.65305	2.67818	2.70986	2.73936	2.73827	2.70331
7	1.13750	1.09865	1.09973	1.09865	1.06087	1.05656	1.03929	1.03605	1.01447	0.98965	0.98425	0.95943	0.94108	0.92165	0.92705	0.90762	0.89467	0.88928	0.90439	0.88496	0.87849
8	3.36782	3.38691	3.39837	3.38310	3.43273	3.39837	3.51674	3.47474	3.41746	3.27236	3.10817	2.98598	2.79124	2.69578	2.51250	2.47814	2.48959	2.61178	2.52778	2.57741	2.58505
9	1.47009	1.50951	1.45433	1.48586	1.47206	1.51542	1.53709	1.59227	1.65730	1.65927	1.62577	1.64548	1.63168	1.65730	1.59424	1.65139	1.68292	1.68686	1.68883	1.64745	1.74007
10	3.53401	3.48470	3.40252	3.26773	3.16582	3.04747	2.96200	2.94885	2.91926	2.86009	2.81406	2.83707	2.85680	2.88967	3.01131	2.99158	2.97515	2.86337	2.89954	2.92584	2.84694
