State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.99311	2.16354	2.13040	2.11620	1.94103	1.77533	1.75640	1.67118	1.76113	2.03571	1.88422	1.41553	1.20249	1.15042	1.06993	1.08414	1.33032	1.39660	1.30191	1.42027	1.26877
2	1.29975	1.27828	1.25830	1.23382	1.20569	1.16381	1.11312	1.07124	1.03903	1.01991	1.01562	1.02464	1.03495	1.05127	1.08069	1.09830	1.12751	1.14233	1.15951	1.17691	1.19516
3	0.71712	0.70003	0.67170	0.63224	0.58701	0.53307	0.48462	0.45433	0.43668	0.42928	0.42488	0.42535	0.43064	0.43471	0.44150	0.44927	0.45634	0.46641	0.47816	0.48785	0.49253
4	0.77121	0.81533	0.84986	0.84027	0.84986	0.87480	0.88631	0.90742	0.94579	0.93619	0.94770	0.97648	0.97264	0.93811	0.86138	0.83068	0.77696	0.73092	0.69831	0.64843	0.63116
5	0.60749	0.56076	0.51803	0.49934	0.47197	0.45261	0.43793	0.42858	0.43525	0.44861	0.48065	0.50134	0.50335	0.52137	0.51670	0.52871	0.54273	0.55341	0.57811	0.61683	0.69627
6	1.12047	1.05298	0.98837	0.90255	0.81336	0.72802	0.67065	0.63497	0.61713	0.60122	0.57084	0.56217	0.59688	0.61375	0.64172	0.66824	0.71500	0.78732	0.90352	1.04382	1.18267
7	0.81445	0.71157	0.63346	0.58107	0.56297	0.52677	0.50867	0.50105	0.49629	0.49629	0.49915	0.50296	0.50582	0.48962	0.49534	0.50201	0.53249	0.59250	0.76682	0.99258	1.32503
8	8.99870	9.20766	9.01555	8.12242	6.58557	4.75549	3.01979	2.09296	1.73570	1.56045	1.60426	1.72559	1.98511	3.08719	7.00011	13.90923	20.70038	25.34128	27.19832	27.43424	26.40967
9	3.55703	4.12754	4.89287	5.78691	6.28611	6.37308	5.59732	3.85620	2.53775	2.64733	2.61429	1.84200	1.78286	1.95332	2.16379	2.70125	3.24568	3.72053	3.63530	3.35004	3.04739
10	4.61365	5.58281	7.27739	10.11232	14.58959	20.70051	27.63550	34.08011	38.09602	38.66474	39.12321	40.35061	39.66872	37.91611	33.37790	25.61884	17.52608	11.27879	7.63139	5.37099	4.14649
