State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.64822	2.35565	1.84081	1.02869	2.17787	1.88428	1.71579	0.79932
2	14.28918	0.77147	1.02452	1.06417	1.10088	1.01565	1.22760	1.12155
3	65.54687	0.40326	0.46434	0.72178	0.53351	0.42489	0.53871	1.15842
4	1.59964	2.43611	1.02062	0.67280	0.90209	0.94773	0.80655	0.90606
5	4.59698	0.72189	5.34468	2.23651	4.40302	0.48066	0.57002	0.29868
6	6.36507	0.80380	1.89412	2.01808	2.25618	0.57086	0.82642	0.36964
7	3.22159	0.46050	1.23838	2.26789	0.98435	0.49916	0.64553	0.17871
8	0.91054	1.23108	2.83894	2.21901	3.10468	1.60431	8.44259	0.23359
9	1.76431	2.23688	1.33504	1.01069	1.62594	2.61437	3.57150	0.69054
10	1.05760	39.83949	6.18688	1.42213	2.81436	39.12151	19.66371	0.32437
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
