State (Emission order)	H3k27me3	Ctcf	H2az	H3k09ac	H3k04me3	H3k04me2	H3k27ac	H3k04me1	H3k79me2	H4k20me1	H3k36me3	H3k09me3
1	0.06265461438683165	0.9158859400443514	0.05748307640801057	0.024249027127521205	4.940854523952793E-4	0.021068336996051897	0.008494415698266802	0.04907852529511183	0.0017864162055053277	0.04750923618791294	0.010988775489382187	0.006045404828492782
2	0.19025673646765587	0.0016678554853716092	0.004385384927097015	0.009754571131890358	2.044079813315683E-5	1.3219196479219878E-4	4.569025940228475E-5	5.847838938681212E-4	1.2200399158843873E-5	0.015269560056415032	2.512324449521182E-5	0.0012121435210220369
3	0.0041866332344943835	5.194388401187492E-4	0.006316387107857952	0.005235658509156002	1.3881165782832858E-6	1.8341528994798137E-5	3.933765801601725E-4	4.6758583542395367E-4	6.458419481621188E-6	5.333361652502993E-4	1.9065131824487635E-4	0.004186903545639312
4	0.0029350768903592	0.00812352907732966	0.019387626876260916	0.004466214664733905	0.015150682932757748	3.4468506911919345E-4	0.007792405259270382	0.001517337282266759	0.00302972038833543	0.0029036594284725823	0.048067037497094074	0.4879456629355367
5	7.254057585300687E-5	0.01908172356920502	1.1438554412090962E-4	0.02147125940114524	2.1156680499101062E-4	3.790470233567955E-4	0.012869008944834906	0.002994115907054442	0.039855222605782586	0.06435320953339121	0.7857180645239596	0.01670783773322094
6	3.379344727014347E-4	0.0016430537224502795	2.4152224717089894E-4	0.014116605459314235	1.5664416336568226E-5	1.5759347920882294E-4	0.0064269239250815974	0.0017972136456191857	0.02617060442644789	0.03607577355065988	0.07183143343573317	0.0010095661514324626
7	1.3037919269361564E-4	0.013462420261871189	1.72741116038251E-4	0.03021405247696011	6.470647768621142E-4	0.016498465155357023	0.036209854184005914	0.049901864921047756	0.8555208713496341	0.4516249302070916	0.36695006707580324	0.01706822990515228
8	4.984095375463968E-4	0.0353812632486821	0.003080018107147928	0.404637245213949	0.3882754525014399	0.74945879617345	0.3776145089435717	0.9125525826438541	0.9570173799350321	0.5117715922066546	0.43229356087851933	0.005857474149319101
9	0.02283142767603864	0.04843277645151561	0.1666478843816444	0.1894039122498143	0.017146423754553265	0.19355746233280297	0.4165203739505476	0.8094281861520791	0.02217276746085195	0.025161557328541268	0.02790090254836173	0.010454876146548945
10	0.03489005247090076	0.2184688339514098	0.7374154465812981	0.8985359761607927	0.8863085356908511	0.9851465716343837	0.7953775523981997	0.6826028696898944	0.4172558440469297	0.07485786351875819	0.010021309855451818	0.004131136678015424
