State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.6211357071659465	0.10966762434235366	0.2140941950259954	0.0010846114785405996	0.002626256653562976	0.03273116048860435	4.185994112197446E-4	8.946662800034373E-5	0.01309490051825667	0.0050574782875197205
2	0.0051754573197097305	0.978117500340456	0.015051485780297332	1.78074566541183E-4	0.0	0.0	0.0	0.0	0.0013785315818941983	9.89504111014725E-5
3	0.002263393175214787	0.003420483432025462	0.9877797690584934	0.003293547027575472	0.0	5.389902847645364E-4	0.0	0.0	0.0026461160060820147	5.7701015844122E-5
4	2.8285820220764893E-4	0.0016034845894462503	0.11377070333826957	0.8776173931314785	0.0013862911249473914	0.0027354362330015776	0.0	2.03283613264959E-5	0.0022146801520106806	3.688248673119353E-4
5	4.2965369398030427E-4	0.0	2.6554540638618223E-7	5.933649617132525E-4	0.9398335704118256	0.052640417153121316	0.005247424181108551	5.086055721387802E-4	7.3832066459517E-4	8.377816110770863E-6
6	0.0034982364378195042	0.0	0.005486409317148887	8.128614975842938E-4	0.03778209943619058	0.9235561191206965	0.020701821042094837	6.492548621823757E-4	0.007421181123281276	9.201716300186557E-5
7	1.0694275091786402E-4	0.0	0.0	0.0	0.007887459644595057	0.041352673961042134	0.9302593098736619	0.02039361376978311	0.0	0.0
8	0.0	0.0	0.0	7.752568817635969E-5	0.003091837325500943	0.00476694069275597	0.07322733760194744	0.8645189525716163	0.013427130448645486	0.040890275671357335
9	0.004921959716617059	0.01139684374605455	0.0957633144207337	0.0025769818210152106	0.001886248449175019	0.02682886852534585	0.0	0.006676874146223167	0.7959746335266048	0.05397427564823064
10	0.00327357511616804	0.0014144222082676206	0.0035610597453310275	6.280605815006842E-4	3.168722125209572E-5	5.420072300794692E-4	0.0	0.03620921807178095	0.08868813010993265	0.8656518397156874
